Complexity metrics (2),Mon, 9 Jan 2023 16:33:03 EET
Method,CogC,ev(G),iv(G),QCP_MAINT,V,v(G)
com.example.socialnetworkgui.repository.MessageDB.findOne(Long),3,3,3,191,291,4
com.example.socialnetworkgui.repository.MessageDB.save(Message),2,2,2,154,235,3
com.example.socialnetworkgui.repository.MessageDB.update(Message),0,1,1,12,4,1
"com.example.socialnetworkgui.repository.UserDB.UserDB(String, String, String, Validator<User>)",0,1,1,45,43,1
com.example.socialnetworkgui.repository.UserDB.delete(Long),2,2,2,113,148,3
com.example.socialnetworkgui.repository.UserDB.findAll(),2,1,3,170,258,3
"com.example.socialnetworkgui.repository.UserDB.findByName(String, String)",4,3,3,241,396,5
com.example.socialnetworkgui.repository.UserDB.findOne(Long),3,3,3,196,301,4
com.example.socialnetworkgui.repository.UserDB.save(User),2,2,2,158,239,3
com.example.socialnetworkgui.repository.UserDB.update(User),3,3,2,207,326,4
"com.example.socialnetworkgui.service.Network.DFSUtil(int, boolean[], int)",6,1,3,139,183,5
"com.example.socialnetworkgui.service.Network.DFSUtils(int, boolean[])",5,1,3,98,121,4
com.example.socialnetworkgui.service.Network.Network(int),3,1,1,120,129,3
com.example.socialnetworkgui.service.Network.addFriendships(Iterable<Friendship>),0,1,1,112,133,1
com.example.socialnetworkgui.service.Network.addUsers(Iterable<User>),0,1,1,33,33,1
com.example.socialnetworkgui.service.Network.biggestComponent(),20,1,7,302,426,9
com.example.socialnetworkgui.service.Network.connectedComponents(),4,1,4,113,138,4
"com.example.socialnetworkgui.service.ServiceFriendship.ServiceFriendship(Repository<Long, User>, Repository<SortedSet<Long>, Friendship>)",0,1,1,19,11,1
"com.example.socialnetworkgui.service.ServiceFriendship.addFriend(Long, Long)",14,4,3,289,429,8
"com.example.socialnetworkgui.service.ServiceFriendship.deleteFriend(Long, Long)",3,4,1,167,220,4
com.example.socialnetworkgui.service.ServiceFriendship.printFr(),0,1,1,15,8,1
"com.example.socialnetworkgui.service.ServiceFriendship.update(Long, Long)",1,2,1,113,149,2
